[2026-06-13T15:24:21.256Z] GET http://localhost:4321/index.html → 200 (13ms, 7526B)
[2026-06-13T15:24:21.280Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&family=Playfair+Display:ital,wght@0,400;1,400&display=swap → pending (?ms, ?B)
[2026-06-13T15:24:21.280Z] GET http://localhost:4321/styles.css → 200 (8ms, 8435B)
[2026-06-13T15:24:21.280Z] GET http://localhost:4321/script.js → 200 (9ms, 2019B)
[2026-06-13T15:24:21.759Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (395ms, 48432B)
[2026-06-13T15:24:21.760Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFRD-vYSZviVYUb_rj3ij__anPXDTnCjmHKM4nYO7KN_qiTXtHA-X-uE0qEEw.woff2 → 200 (393ms, 21952B)
[2026-06-13T15:24:21.760Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFvD-vYSZviVYUb_rj3ij__anPXJzDwcbmjWBN2PKdFvXDXbtPK-F2qC0s.woff2 → 200 (398ms, 21880B)
[2026-06-13T15:24:53.504Z] GET https://shiraz.vc/ → pending (?ms, ?B)
[2026-06-13T15:24:57.045Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&family=Playfair+Display:ital,wght@0,400;1,400&display=swap → 200 (1ms, 13521B)
[2026-06-13T15:24:57.045Z] GET https://shiraz.vc/styles.css → pending (?ms, ?B)
[2026-06-13T15:24:57.045Z] GET https://shiraz.vc/script.js → 200 (130ms, 2019B)
[2026-06-13T15:24:57.045Z] GET https://static.cloudflareinsights.com/beacon.min.js/v833ccba57c9e4d2798f2e76cebdd09a11778172276447 → 200 (455ms, 33228B)
[2026-06-13T15:24:58.215Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, 48432B)
[2026-06-13T15:24:58.215Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFRD-vYSZviVYUb_rj3ij__anPXDTnCjmHKM4nYO7KN_qiTXtHA-X-uE0qEEw.woff2 → 200 (1ms, 21952B)
[2026-06-13T15:24:58.215Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFvD-vYSZviVYUb_rj3ij__anPXJzDwcbmjWBN2PKdFvXDXbtPK-F2qC0s.woff2 → 200 (1ms, 21880B)
[2026-06-13T15:24:58.230Z] POST https://shiraz.vc/cdn-cgi/rum? → 204 (14ms, ?B)
[2026-06-13T15:31:50.171Z] GET https://shiraz.vc/?fresh=24273 → 200 (134ms, 8030B)
[2026-06-13T15:31:50.315Z] POST https://shiraz.vc/cdn-cgi/rum? → pending (?ms, ?B)
